CP1 MT FUNNY|false|1065
873.1500244140625,364.97113037109375,-711.2418212890625|-0.17149798572063446,-7.531754420142533e-08,0.9851844906806946|-4.377564977176007e-08,1,6.88298555928668e-08|Running
873.0584716796875,364.97113037109375,-710.7164306640625|-0.16934719681739807,-6.026616006238328e-08,0.9855564832687378|-3.478329446693351e-08,1,5.517259538123653e-08|Running
872.9679565429688,364.97113037109375,-710.1907958984375|-0.16720029711723328,-4.5241574042620414e-08,0.9859229326248169|-2.5828594374388558e-08,1,4.1507323800260565e-08|Running
872.8786010742188,364.97113037109375,-709.6649780273438|-0.15643717348575592,-3.03006046920018e-08,0.987687885761261|-1.654745318546702e-08,1,2.8057412393422965e-08|Running
872.7943115234375,364.97113037109375,-709.1383666992188|-0.14565356075763702,-1.5444907575101752e-08,0.9893356561660767|-7.4210499967364285e-09,1,1.45188385758388e-08|Running
872.6963500976562,364.97113037109375,-708.4789428710938|-0.1283649504184723,2.9574167559331954e-09,0.9917269945144653|3.847060892070431e-09,1,-2.4841402268549473e-09|Running
872.6436767578125,364.97113037109375,-708.0824584960938|-0.11320382356643677,1.3908215912294963e-08,0.9935717582702637|1.0411175921376525e-08,1,-1.2811988803207441e-08|Running
872.5820922851562,364.97113037109375,-707.552734375|-0.10236024856567383,2.8419057329642783e-08,0.9947474002838135|1.906756175173996e-08,1,-2.6607054337546288e-08|Running
872.512939453125,364.97113037109375,-706.8896484375|-0.09801843017339706,4.649995588579259e-08,0.995184600353241|2.9936632728322365e-08,1,-4.377641715791469e-08|Running
872.473388671875,364.97113037109375,-706.4915771484375|-0.09801843017339706,5.7339232029107734e-08,0.995184600353241|3.652221636230024e-08,1,-5.401950531336297e-08|Running
872.4080810546875,364.97113037109375,-705.828125|-0.09584622830152512,7.536904433891323e-08,0.9953961372375488|4.737081837902224e-08,1,-7.115632172371988e-08|Running
872.3695678710938,364.97113037109375,-705.4300537109375|-0.09149997681379318,8.615329250005743e-08,0.9958050847053528|5.3634067853636225e-08,1,-8.158802700108936e-08|Running
872.3204345703125,364.97113037109375,-704.8990478515625|-0.08497974276542664,1.0047229181964212e-07,0.9963826537132263|6.185808132386228e-08,1,-9.556128333088054e-08|Running
872.2745971679688,364.97113037109375,-704.36767578125|-0.08497974276542664,1.1477905559331703e-07,0.9963826537132263|7.060981488393736e-08,1,-1.0917356263462352e-07|Running
872.2291870117188,364.97113037109375,-703.836181640625|-0.07846061885356903,6.730979862368258e-08,0.996917188167572|4.102879458400821e-08,1,-6.428884091747022e-08|Running
872.1868286132812,364.97113037109375,-703.3045043945312|-0.07193481177091599,2.004703070213054e-08,0.9974093437194824|1.1766456253781143e-08,1,-1.925048387363404e-08|Running
872.14794921875,364.97113037109375,-702.7725830078125|-0.06540306657552719,-2.7007503788922804e-08,0.9978589415550232|-1.7175919353462632e-08,1,2.593968417841097e-08|Running
872.112548828125,364.97113037109375,-702.2404174804688|-0.05669016018509865,-7.379507138693953e-08,0.9983918070793152|-4.5740286225282034e-08,1,7.131674095717244e-08|Running
872.0816040039062,364.97113037109375,-701.7079467773438|-0.05015849694609642,-7.46698347597885e-08,0.9987412691116333|-4.59246187745066e-08,1,7.245753153029e-08|Running
872.0543212890625,364.97113037109375,-701.17529296875|-0.045797135680913925,-6.035189414888009e-08,0.9989507794380188|-3.6891364629809686e-08,1,5.872398745054852e-08|Running
872.029541015625,364.97113037109375,-700.642578125|-0.04580118507146835,-4.604614289860365e-08,0.9989506006240845|-2.8182604694393376e-08,1,4.4802362708651344e-08|Running
872.005126953125,364.9372863769531,-700.1116943359375|-0.04580046609044075,-3.175261298338228e-08,0.9989506006240845|-1.9481015911537725e-08,1,3.089279232426634e-08|Running
871.980712890625,365.802734375,-699.5811767578125|-0.04579760879278183,-1.7471325719498054e-08,0.998950719833374|-1.078681233224188e-08,1,1.6995148399701066e-08|Jumping
871.956298828125,366.61370849609375,-699.0487060546875|-0.04579987749457359,-3.2022204887738326e-09,0.9989506602287292|-2.1001673733422876e-09,1,3.1092959318357316e-09|Freefall
871.931884765625,367.3701477050781,-698.5159912109375|-0.04579952731728554,1.1054700266299733e-08,0.9989506602287292|6.579097266978806e-09,1,-1.0764676261487693e-08|Freefall
871.907470703125,368.0721130371094,-697.9832763671875|-0.04579770565032959,2.529942477735858e-08,0.998950719833374|1.5250920526455047e-08,1,-2.4626807260119676e-08|Freefall
